Week,Topic,Basic Icon,Advanced Icon,Tues Due,Thurs Due,Title,Submit Link,Basic Ass 1,Basic Link 1,Basic Ass 2,Basic Link 2,Basic Ass 3,Basic Link 3,Basic Ass 4,Basic Link 4,Basic Ass 5,Basic Link 5,Advanced Ass 1,Advanced Link 1,Advanced Ass 2,Advanced Link 2,Advanced Ass 3,Advanced Link 3,Advanced Ass 4,Advanced Link 4,Advanced Ass 5,Advanced Link 5
1/23/2018,Introduction,intro-to-maya,intro-to-maya,8/27/2018,8/29/2018,Introduction to Maya,https://www.google.com/url?q=https://docs.google.com/forms/d/e/1FAIpQLScPI-6L4ed_TkW5x7kAhSwuBw8ZHOxQPl_nGaIFti2qgk4svQ/viewform?usp%3Dsf_link&sa=D&ust=1516765057465000&usg=AFQjCNGpRMhzmLqzsuIpWOfdR7j7a8ryPw,Install Maya 2017,http://www.autodesk.com/education/free-software/maya,Submit Enrollment Form,https://docs.google.com/forms/d/e/1FAIpQLSc3Z9ex3ZCHmsegQR1ZSj2v38YtgJl_G8DZwFzsZB070WNBFQ/viewform?usp=sf_link,Submit Robot Project,,,,,,Submit Enrollment Form,https://docs.google.com/forms/d/e/1FAIpQLSc3Z9ex3ZCHmsegQR1ZSj2v38YtgJl_G8DZwFzsZB070WNBFQ/viewform?usp=sf_link,Prepare 2 story pitches,,,,,,,
1/30/2018,Story,art-n-story,art-n-story,9/3/2018,9/5/2018,Art and Story,https://goo.gl/forms/0ehjpxuIWEtplXwu1,Prepare Story Pitch,,15-20 Storyboards,,,,,,,,Revise 1 story pitch,#labsPRE-PRODUCTION,30+ Storyboards,#labsPRE-PRODUCTION,,,,,,
2/6/2018,Project Management,project-management,project-management,9/10/2018,9/12/2018,Project Management,mailto:homework@ucbugg.com,/Submit Animatic,,/Create Modeling Sheets,,/Create Asset List,,,,,,Asset List + Modeling Sheets,,Mood Boards,,Submit Animatic,,,,,
2/13/2018,Modeling 1,basic-modeling,adv-hardsurface-modeling,9/17/2018,9/19/2018,Basic Modeling,https://docs.google.com/forms/d/1F-r7BEWKIebcI55jaw_lC-Jp4mHyiC4Q2x53wZKUink/edit,Submit Modeling 1,#labsMODELING1,/Model Props,,,,,,,,Submit Cello Model,#labsHARDSURFACEMODELING,/Model Props & Sets,,,,,,,
2/22/2018,Modeling 2,advanced-modeling,adv-organic-modeling,9/24/2018,9/26/2018,Advanced Modeling,https://docs.google.com/forms/d/e/1FAIpQLSfBEASO26-I1FhXW0teyEru36vLoc_bM_bnKICWmZyHnhXP9Q/viewform?usp=sf_link,Submit Modeling 2,#labsMODELING2,/Model Characters,,/Model Sets,,,,,,Submit ONE Organic Modeling Lab,,/Model Characters,,,,,,,
3/1/2018,Shading,shading,adv-shading,10/1/2018,10/3/2018,Shading,https://goo.gl/forms/YbX7Z37xdznc8Naq2,Submit Basic Materials,#labsBASICMATERIALS,/Texture Models,#labsUVMAPPING,/Preview Render,,,,,,Submit Car Rust,#labsHYPERSHADE,/UV Map and Texture Models,#labsUVMAPPING,/Create Blend Shapes,,,,,
3/7/2018,Rigging 1,basic-rigging,adv-basic-rigging,10/8/2018,10/10/2018,Basic Rigging,mailto:homework@ucbugg.com,Submit Rigging 1,#labsRIGGING1,/Set Up Skeletons,,/Create Blendshapes,#labsBLENDSHAPES,,,,,Submit Fox Rig,#labsADVANCEDRIGGING1,/Add Skeletons,,/Add Controllers,,,,,
3/14/2018,Rigging 2,advanced-rigging,adv-adv-rigging,10/15/2018,10/17/2018,Advanced Rigging,https://docs.google.com/forms/u/1/d/14VxhiSpmGtZUbjI0f8WLmun8h2UBXswaqyNEzYqf0rY/edit?usp=sharing,Submit Rigging 2,#labsRIGGING2,/Add Controllers,,/Skin Characters,#labsSKINNING,,,,,Read 'Rigging Guide',#labsRIGGINGGUIDE,/Finish Skinning,,,,,,,
3/21/2018,Animation 1,basic-animation,adv-basic-anim,10/22/2018,10/24/2018,Basic Animation,mailto:homework@ucbugg.com,Submit Animation 1,#labsANIMATION1,/Blocking Animation,,,,,,,,Submit Walk Cycle,#labsCHARACTERANIMATION,/Blocking Animation,,/Submit Playblasts,#labsPLAYBLASTS,,,,
4/4/2018,Animation 2,advanced-animation,adv-adv-anim,10/29/2018,10/31/2018,Advanced Animation,https://docs.google.com/forms/d/e/1FAIpQLSdLEhCy2vuAXoj3dgVgMiXNmcqLZ5XSBeKmdC6Z3Sdltxa6pw/viewform?usp=sf_link,Submit Animation 2,#labsANIMATION2,/Submit 3D Animatic,#labsPLAYBLASTS,,,,,,,/Refine Animation,,/Submit Playblasts,#labsPLAYBLASTS,,,,,,
